time_s,temperature_C,energy_kJ
606.0,32.0,121.4
607.0,32.0,121.6
608.0,32.0,121.8
609.0,32.0,122.0
610.0,32.0,122.2
611.0,32.0,122.4
612.0,32.0,122.6
613.0,32.0,122.8
614.0,32.0,123.0
615.0,32.0,123.2
616.0,32.0,123.4
617.0,32.0,123.6
618.0,32.0,123.8
619.0,32.0,124.0
620.0,32.0,124.2
621.0,32.0,124.4
622.0,32.0,124.6
623.0,32.0,124.8
624.0,32.0,125.0
625.0,32.0,125.2
626.0,32.0,125.4
627.0,32.0,125.6
628.0,32.0,125.8
629.0,32.0,126.0
630.0,32.0,126.2
631.0,32.0,126.4
632.0,32.0,126.6
633.0,32.0,126.8
634.0,32.0,127.0
635.0,32.0,127.2
636.0,32.0,127.4
637.0,32.0,127.6
638.0,32.0,127.8
639.0,32.0,128.0
640.0,32.0,128.2
641.0,32.0,128.4
642.0,32.0,128.6
643.0,32.0,128.8
644.0,32.0,129.0
645.0,32.0,129.2
646.0,32.0,129.4
647.0,32.0,129.6
648.0,32.0,129.8
649.0,32.0,130.0
650.0,32.0,130.2
651.0,32.0,130.4
652.0,32.0,130.6
653.0,32.0,130.8
654.0,32.0,131.0
655.0,32.0,131.2
656.0,32.0,131.4
657.0,32.0,131.6
658.0,32.0,131.8
659.0,32.0,132.0
660.0,32.0,132.2
661.0,32.0,132.4
662.0,32.0,132.6
663.0,32.0,132.8
664.0,32.0,133.0
665.0,32.0,133.2
666.0,32.0,133.4
667.0,32.0,133.6
668.0,32.0,133.8
669.0,32.0,134.0
670.0,32.0,134.2
671.0,32.0,134.4
672.0,32.0,134.6
673.0,32.0,134.8
674.0,32.0,135.0
675.0,32.0,135.2
676.0,32.0,135.4
677.0,32.0,135.6
678.0,32.0,135.8
679.0,32.0,136.0
680.0,32.0,136.2
681.0,32.0,136.4
682.0,32.0,136.6
683.0,32.0,136.8
684.0,32.0,137.0
685.0,32.0,137.2
686.0,32.0,137.4
687.0,32.0,137.6
688.0,32.0,137.8
689.0,32.0,138.0
690.0,32.0,138.2
691.0,32.0,138.4
692.0,32.0,138.6
693.0,32.0,138.8
694.0,32.0,139.0
695.0,32.0,139.2
696.0,32.0,139.4
697.0,32.0,139.6
698.0,32.0,139.8
699.0,32.0,140.0
700.0,32.0,140.2
701.0,32.0,140.4
702.0,32.0,140.6
703.0,32.0,140.8
704.0,32.0,141.0
705.0,32.0,141.2
706.0,32.0,141.4
707.0,32.0,141.6
708.0,32.0,141.8
709.0,32.0,142.0
710.0,32.0,142.2
711.0,32.0,142.4
712.0,32.0,142.6
713.0,32.0,142.8
714.0,32.0,143.0
715.0,32.0,143.2
716.0,32.0,143.4
717.0,32.0,143.6
718.0,32.0,143.8
719.0,32.0,144.0
720.0,32.0,144.2
721.0,32.0,144.4
722.0,32.0,144.6
723.0,32.0,144.8
724.0,32.0,145.0
725.0,32.0,145.2
726.0,32.0,145.4
727.0,32.0,145.6
728.0,32.0,145.8
729.0,32.0,146.0
730.0,32.0,146.2
731.0,32.0,146.4
732.0,32.0,146.6
733.0,32.0,146.8
734.0,32.0,147.0
735.0,32.0,147.2
736.0,32.0,147.4
737.0,32.0,147.6
738.0,32.0,147.8
739.0,32.0,148.0
740.0,32.0,148.2
741.0,32.0,148.4
742.0,32.0,148.6
743.0,32.0,148.8
744.0,32.0,149.0
745.0,32.0,149.2
746.0,32.0,149.4
747.0,32.0,149.6
748.0,32.0,149.8
749.0,32.0,150.0
750.0,32.0,150.2
751.0,32.0,150.4
752.0,32.0,150.6
753.0,32.0,150.8
754.0,32.0,151.0
755.0,32.0,151.2
756.0,32.0,151.4
757.0,32.0,151.6
758.0,32.0,151.8
759.0,32.0,152.0
760.0,32.0,152.2
761.0,32.0,152.4
762.0,32.0,152.6
763.0,32.0,152.8
764.0,32.0,153.0
765.0,32.0,153.2
766.0,32.0,153.4
767.0,32.0,153.6
768.0,32.0,153.8
769.0,32.0,154.0
770.0,32.0,154.2
771.0,32.0,154.4
772.0,32.0,154.6
773.0,32.0,154.8
774.0,32.0,155.0
775.0,32.0,155.2
776.0,32.0,155.4
777.0,32.0,155.6
778.0,32.0,155.8
779.0,32.0,156.0
780.0,32.0,156.2
781.0,32.0,156.4
782.0,32.0,156.6
783.0,32.0,156.8
784.0,32.0,157.0
785.0,32.0,157.2
786.0,32.0,157.4
787.0,32.0,157.6
788.0,32.0,157.8
789.0,32.0,158.0
790.0,32.0,158.2
791.0,32.0,158.4
792.0,32.0,158.6
793.0,32.0,158.8
794.0,32.0,159.0
795.0,32.0,159.2
796.0,32.0,159.4
797.0,32.0,159.6
798.0,32.0,159.8
799.0,32.0,160.0
800.0,32.0,160.2
801.0,32.0,160.4
802.0,32.0,160.6
803.0,32.0,160.8
804.0,32.0,161.0
805.0,32.0,161.2
806.0,32.0,161.4
807.0,32.0,161.6
808.0,32.0,161.8
809.0,32.0,162.0
810.0,32.0,162.2
811.0,32.0,162.4
812.0,32.0,162.6
813.0,32.0,162.8
814.0,32.0,163.0
815.0,32.0,163.2
816.0,32.0,163.4
817.0,32.0,163.6
818.0,32.0,163.8
819.0,32.0,164.0
820.0,32.0,164.2
821.0,32.0,164.4
822.0,32.0,164.6
823.0,32.0,164.8
824.0,32.0,165.0
825.0,32.0,165.2
826.0,32.0,165.4
827.0,32.0,165.6
828.0,32.0,165.8
829.0,32.0,166.0
830.0,32.0,166.2
831.0,32.0,166.4
832.0,32.0,166.6
833.0,32.0,166.8
834.0,32.0,167.0
835.0,32.0,167.2
836.0,32.0,167.4
837.0,32.0,167.6
838.0,32.0,167.8
839.0,32.0,168.0
840.0,32.0,168.2
841.0,32.0,168.4
842.0,32.0,168.6
843.0,32.0,168.8
844.0,32.0,169.0
845.0,32.0,169.2
846.0,32.0,169.4
847.0,32.0,169.6
848.0,32.0,169.8
849.0,32.0,170.0
850.0,32.0,170.2
851.0,32.0,170.4
852.0,32.0,170.6
853.0,32.0,170.8
854.0,32.0,171.0
855.0,32.0,171.2
856.0,32.0,171.4
857.0,32.0,171.6
858.0,32.0,171.8
859.0,32.0,172.0
860.0,32.0,172.2
861.0,32.0,172.4
862.0,32.0,172.6
863.0,32.0,172.8
864.0,32.0,173.0
865.0,32.0,173.2
866.0,32.0,173.4
867.0,32.0,173.6
868.0,32.0,173.8
