time_s,temperature_C,energy_kJ
364.0,55.0,73.0
365.0,55.0,73.2
366.0,55.0,73.4
367.0,55.0,73.6
368.0,55.0,73.8
369.0,55.0,74.0
370.0,55.0,74.2
371.0,55.0,74.4
372.0,55.0,74.6
373.0,55.0,74.8
374.0,55.0,75.0
375.0,55.0,75.2
376.0,55.0,75.4
377.0,55.0,75.6
378.0,55.0,75.8
379.0,55.0,76.0
380.0,55.0,76.2
381.0,55.0,76.4
382.0,55.0,76.6
383.0,55.0,76.8
384.0,55.0,77.0
385.0,55.0,77.2
386.0,55.0,77.4
387.0,55.0,77.6
388.0,55.0,77.8
389.0,55.0,78.0
390.0,55.0,78.2
391.0,55.0,78.4
392.0,55.0,78.6
393.0,55.0,78.8
394.0,55.0,79.0
395.0,55.0,79.2
396.0,55.0,79.4
397.0,55.0,79.6
398.0,55.0,79.8
399.0,55.0,80.0
400.0,55.0,80.2
401.0,55.0,80.4
402.0,55.0,80.6
403.0,55.0,80.8
404.0,55.0,81.0
405.0,55.0,81.2
406.0,55.0,81.4
407.0,55.0,81.6
408.0,55.0,81.8
409.0,55.0,82.0
410.0,55.0,82.2
411.0,55.0,82.4
412.0,55.0,82.6
413.0,55.0,82.8
414.0,55.0,83.0
415.0,55.0,83.2
416.0,55.0,83.4
417.0,55.0,83.6
418.0,55.0,83.8
419.0,55.0,84.0
420.0,55.0,84.2
421.0,55.0,84.4
422.0,55.0,84.6
423.0,55.0,84.8
424.0,55.0,85.0
425.0,55.0,85.2
426.0,55.0,85.4
427.0,55.0,85.6
428.0,55.0,85.8
429.0,55.0,86.0
430.0,55.0,86.2
431.0,55.0,86.4
432.0,55.0,86.6
433.0,55.0,86.8
434.0,55.0,87.0
435.0,55.0,87.2
436.0,55.0,87.4
437.0,55.0,87.6
438.0,55.0,87.8
439.0,55.0,88.0
440.0,55.0,88.2
441.0,55.0,88.4
442.0,55.0,88.6
443.0,55.0,88.8
444.0,55.0,89.0
445.0,55.0,89.2
446.0,55.0,89.4
447.0,55.0,89.6
448.0,55.0,89.8
449.0,55.0,90.0
450.0,55.0,90.2
451.0,55.0,90.4
452.0,55.0,90.6
453.0,55.0,90.8
454.0,55.0,91.0
455.0,55.0,91.2
456.0,55.0,91.4
457.0,55.0,91.6
458.0,55.0,91.8
459.0,55.0,92.0
460.0,55.0,92.2
461.0,55.0,92.4
462.0,55.0,92.6
463.0,55.0,92.8
464.0,55.0,93.0
465.0,55.0,93.2
466.0,55.0,93.4
467.0,55.0,93.6
